# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  119       4.371445440656e-10       1.342340057677e-13      -4.636083884664e-12       6.092436595092e-16       6.790017526950e-12       1.059090512254e-12      -6.234122980172e-15 
  120       4.416030281966e-10       1.354783723746e-13      -4.711484298925e-12       6.198962535926e-16       6.635985013810e-12       1.040121322751e-12      -6.171447264942e-15 
  121       4.460734799736e-10       1.366702590475e-13      -4.785563263020e-12       6.306595886005e-16       6.486532599393e-12       1.021607555910e-12      -6.102575553061e-15 
  122       4.505549797879e-10       1.378084124069e-13      -4.858247376914e-12       6.415344308970e-16       6.341563071652e-12       1.003545625563e-12      -6.028371203675e-15 
  123       4.550465113155e-10       1.388916158894e-13      -4.929463097136e-12       6.525215575187e-16       6.200949461747e-12       9.859289688552e-13      -5.949762354374e-15 
  124       4.595469587739e-10       1.399186911172e-13      -4.999136765040e-12       6.636217561993e-16       6.064534231585e-12       9.687479604158e-13      -5.867743262403e-15 
  125       4.640551041801e-10       1.408884992662e-13      -5.067194635067e-12       6.748358253943e-16       5.932128461367e-12       9.519898265313e-13      -5.783375645868e-15 
  126       4.685696246073e-10       1.417999424353e-13      -5.133562903001e-12       6.861645743055e-16       5.803511037131e-12       9.356385593206e-13      -5.697790024954e-15 
  127       4.730890894424e-10       1.426519650151e-13      -5.198167734233e-12       6.976088229057e-16       5.678427838294e-12       9.196748309089e-13      -5.612187063129e-15 
  128       4.776119576431e-10       1.434435550566e-13      -5.260935292019e-12       7.091694019635e-16       5.556590925196e-12       9.040759076014e-13      -5.527838908360e-15 
  129       4.821367408282e-10       1.441737902998e-13      -5.321793123300e-12       7.208471677552e-16       5.437740427993e-12       8.888209110517e-13      -5.445843957848e-15 
  130       4.866625186005e-10       1.448419790590e-13      -5.380674428031e-12       7.326430479750e-16       5.321839615165e-12       8.739074366116e-13      -5.366357886707e-15 
  131       4.911884748351e-10       1.454475374516e-13      -5.437514313791e-12       7.445580009315e-16       5.208899788504e-12       8.593366043277e-13      -5.289280404121e-15 
  132       4.957137353736e-10       1.459899477956e-13      -5.492248517800e-12       7.565930014398e-16       5.098919139767e-12       8.451078282678e-13      -5.214493849054e-15 
  133       5.002373664681e-10       1.464687602981e-13      -5.544813444901e-12       7.687490409508e-16       4.991882386891e-12       8.312187689556e-13      -5.141862767048e-15 
  134       5.047583732247e-10       1.468835947441e-13      -5.595146205525e-12       7.810271276818e-16       4.887760410204e-12       8.176652858064e-13      -5.071233487027e-15 
  135       5.092756980478e-10       1.472341421840e-13      -5.643184653673e-12       7.934282867451e-16       4.786509888633e-12       8.044413895616e-13      -5.002433698091e-15 
  136       5.137882190839e-10       1.475201666232e-13      -5.688867424888e-12       8.059535602787e-16       4.688072935921e-12       7.915391947245e-13      -4.935272026316e-15 
  137       5.182947486653e-10       1.477415067093e-13      -5.732133974226e-12       8.186040075754e-16       4.592376736833e-12       7.789488719950e-13      -4.869537611559e-15 
  138       5.227940317542e-10       1.478980774215e-13      -5.772924614235e-12       8.313807052128e-16       4.499333183372e-12       7.666586007049e-13      -4.804999684251e-15 
  139       5.272847443867e-10       1.479898717585e-13      -5.811180552926e-12       8.442847471829e-16       4.408838510989e-12       7.546545212531e-13      -4.741407142201e-15 
  140       5.317654921163e-10       1.480169624271e-13      -5.846843931746e-12       8.573172450218e-16       4.320772934790e-12       7.429206875406e-13      -4.678488127393e-15 
  141       5.362348084584e-10       1.479795035302e-13      -5.879857863559e-12       8.704793279397e-16       4.235000285756e-12       7.314390194057e-13      -4.615949602787e-15 
